"Comment","Designator","Footprint","LCSC Part #","LCSC Part Type"
"100n","C1,C4,C7,C9,C10,C12,C13","C_0805_OEM","",""
"6.8n","C2","C_0805_OEM","",""
"120n","C3","C_0805_OEM","",""
"22p","C5,C6","C_0805_OEM","",""
"10u","C8","C_0805_OEM","",""
"10k","R1,R2,R3,R4","R_0805_OEM","",""
"MPL3115A2","U2","MPL3115A2","",""
"Teensy3.6","U3","Teensy3-6","",""
"Crystal_32kHz768","Y1","FC-135_3.2x1.5mm","",""
"BNO055","U1","BNO055","",""
"TestPoint","BOOT1,CAP1,CAP2,GND1,GND2,nReset1,OSCin1,OSCout1,VDD1,VDD2","Test-Point-Pin_Drill2.79mm","",""
"1u","C11","C_0805_OEM","",""
"BMI088","U4","bmi088","",""
"ADXL345BCCZ","U5","ADXL345","",""
"RFM9X_header","J2","RFM9X_header","",""
"Conn_01x09_Female","J1","PinSocket_1x09_P2.54mm_Vertical","",""
"D","D1,D2,D3","D_0805_OEM","",""
"Conn_01x03_Male","J3","PinHeader_1x03_P2.54mm_Vertical","",""
"Conn_01x04_Male","BMS_CONN1,BMS_CONN2","PinHeader_1x04_P2.54mm_Vertical","",""
"Q_PNP_BCE","Q1","TO-220-3_Horizontal_TabDown","",""
"1K","R5","R_0805_OEM","",""
"","G***","OLIN_O","",""
