Designator,Mid X,Mid Y,Layer,Rotation
C1,145.859500mm,-133.413500mm,Top,180
C2,145.859500mm,-126.682500mm,Top,0
C3,145.859500mm,-129.984500mm,Top,0
C4,157.797500mm,-125.158500mm,Top,270
C5,140.398500mm,-122.745500mm,Top,180
C6,140.398500mm,-118.935500mm,Top,180
C7,120.713500mm,-123.253500mm,Top,270
C8,116.776500mm,-123.253500mm,Top,270
C9,124.650500mm,-123.253500mm,Top,270
C10,106.299000mm,-115.316000mm,Top,90
C11,110.617000mm,-115.316000mm,Top,90
C12,178.816000mm,-115.443000mm,Top,180
C13,178.816000mm,-118.745000mm,Top,180
D1,114.427000mm,-129.667000mm,Top,270
D2,127.254000mm,-142.621000mm,Top,180
D3,113.665000mm,-142.621000mm,Top,180
G***,142.367000mm,-57.912000mm,Top,0
R1,158.432500mm,-120.713500mm,Top,180
R2,152.590500mm,-127.571500mm,Top,0
R3,147.383500mm,-115.252500mm,Top,0
R4,152.717500mm,-115.252500mm,Top,180
R5,120.904000mm,-130.048000mm,Top,0
U1,150.329900mm,-118.960900mm,Top,270
U2,124.929900mm,-117.436900mm,Top,270
U4,179.133500mm,-111.061500mm,Top,180
U5,115.824000mm,-113.284000mm,Top,0
Y1,146.113500mm,-122.745500mm,Top,90
