Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0805_OEM",145.859500,-133.413500,180.000000,top
"C2","6.8n","C_0805_OEM",145.859500,-126.682500,0.000000,top
"C3","120n","C_0805_OEM",145.859500,-129.984500,0.000000,top
"C4","100n","C_0805_OEM",157.797500,-125.158500,270.000000,top
"C5","22p","C_0805_OEM",140.398500,-122.745500,180.000000,top
"C6","22p","C_0805_OEM",140.398500,-118.935500,180.000000,top
"C7","100n","C_0805_OEM",120.713500,-123.253500,270.000000,top
"C8","10u","C_0805_OEM",116.776500,-123.253500,270.000000,top
"C9","100n","C_0805_OEM",124.650500,-123.253500,270.000000,top
"C10","100n","C_0805_OEM",106.299000,-115.316000,90.000000,top
"C11","1u","C_0805_OEM",110.617000,-115.316000,90.000000,top
"C12","100n","C_0805_OEM",178.816000,-115.443000,180.000000,top
"C13","100n","C_0805_OEM",178.816000,-118.745000,180.000000,top
"D1","D","D_0805_OEM",114.427000,-129.667000,270.000000,top
"D2","D","D_0805_OEM",127.254000,-142.621000,180.000000,top
"D3","D","D_0805_OEM",113.665000,-142.621000,180.000000,top
"G***","","OLIN_O",142.367000,-57.912000,0.000000,top
"R1","10k","R_0805_OEM",158.432500,-120.713500,180.000000,top
"R2","10k","R_0805_OEM",152.590500,-127.571500,0.000000,top
"R3","10k","R_0805_OEM",147.383500,-115.252500,0.000000,top
"R4","10k","R_0805_OEM",152.717500,-115.252500,180.000000,top
"R5","1K","R_0805_OEM",120.904000,-130.048000,0.000000,top
"U1","BNO055","BNO055",150.329900,-118.960900,270.000000,top
"U2","MPL3115A2","MPL3115A2",124.929900,-117.436900,270.000000,top
"U4","BMI088","bmi088",179.133500,-111.061500,180.000000,top
"U5","ADXL345BCCZ","ADXL345",115.824000,-113.284000,0.000000,top
"Y1","Crystal_32kHz768","FC-135_3.2x1.5mm",146.113500,-122.745500,90.000000,top
